"auto_id","hisco_45_id","hisco_3_id","hisco_2_id","hisco_1_id","label","description","country_code","preferred"
"35569","30","3","4","4","Appraiser","Determines value of real estate, industrial equipment, personal and household effects, works of art, gems and other articles, by examining them for condition and authenticity.","","0"
"35570","20","1","5","4","Wholesale Trade Salesperson","Sells goods in a wholesale establishment to retailers and large-scale consumers.","","0"
"35571","25","1","5","4","Salesperson, Wholesale or Retail Trade","Sells goods in a wholesale establishment (4-51.20) or in a shop or similar retail trade establishment (4-51.30).","","0"
"35572","30","1","5","4","Retail Trade Salesperson","Sells goods in a shop or similar retail trade establishment.","","0"
"35573","40","1","5","4","Fashion Model","Wears and displays clothing for sale in showrooms and other places in order to demonstrate style and other characteristics.","","0"
"35574","50","1","5","4","Demonstrator","Gives demonstrations of articles for sale, in wholesale, retail and industrial establishments, at exhibitions, or in private houses.","","0"
"35575","90","1","5","4","Other Salesmen, Shop Assistants and Demonstrators","This group includes salesmen and shop assistants not elsewhere classified, for example those who replenish stocks and assist customers according to written or telephoned requests; conduct and assist customers in their purchasing in a self-service store; those who sell petrol, oil or other motoring requirements in a garage, motor service station or similar establishement to customers.","","0"
"35576","20","2","5","4","Street Vendor","Sells goods such as fruit, vegetables, ice-cream, coal or wood on street or waterway or from door to door.","","0"
"35577","30","2","5","4","Canvasser","Solicits business for an establishment, particularly from households, by going from door to door.","","0"
"35578","40","2","5","4","News Vendor","Sells newspapers on streets or distributes them to regular subscribers.","","0"
"35579","90","2","5","4","Other Street Vendors, Canvassers and News Vendors","This group includes street vendors, canvassers and newsvendors not elsewhere classified, for example those heating foodstuffs, such as chestnuts and frankfurters, and selling them from street stands.","","0"
"35580","20","0","9","4","Pawnbroker","Estimates the value of articles offered as pledges and lends money on deposit of the articles.","","0"
"35581","30","0","9","4","Waste Collector","Collects waste material such as rags, bones or scrap metal for reselling or recycling.","","0"
"35582","90","0","9","4","Other Sales workers","This group includes sales workers not elsewhere classified, for example those selling refreshments and confectionery or programmes in places of entertainment.","","0"
"35583","0","0","1","5","Working Proprietor (Catering, Lodging or Leisure Services), Specialisation Unknown","May perform any (but not all) occupational activities described in unit group 5-10.","","0"
"35584","20","0","1","5","Working Proprietor (Hotel and Restaurant)","Operates a hotel and restaurant or motel on own account or in partnership, to provide accommodation and meals for guests.","","0"
"35585","30","0","1","5","Working Proprietor (Restaurant)","Operates a restaurant on own account or in partnership, to provide food and beverages for guests.","","0"
"35586","40","0","1","5","Working Proprietor (Guest House)","Operates a guest house on own account or in partnership, to provide temporary or permanent accommodation for guests.","","0"
"35587","50","0","1","5","Working Proprietor (Café, Bar and Snack Bar)","Operates a café, bar or snack bar on own account or in partnership, to sell food or alcoholic and other beverages to customers.","","0"
"35588","90","0","1","5","Other Working Proprietors (Catering, Lodging and Leisure Services)","This group includes working proprietors of catering and lodging services not elsewhere classified, for example those who operate rooming houses which do not supply meals, cafeterias and canteens, caravan parks, golf courses, swimming pools, billiard halls, and fairground rides.","","0"
"35589","0","1","3","5","Cook, Specialisation Unknown","May perform any (but not all) of the occupational activities described in 5-31.20 to 5-31.90.","","0"
"35590","20","1","3","5","Head Cook","Plans meals and supervises and co-ordinates work of cooks and kitchen helpers in hotels, restaurants or other establishments and on railway trains.","","0"
"35591","30","1","3","5","Cook, Except Private Service","Prepares all kinds of hot and cold meals, snacks, pastries, etc. for consumption in hotels, restaurants railway dining-cars, air planes, clubs, schools, cafeterias and other catering facilities.","","0"
"35592","40","1","3","5","Cook, Private Service","Prepares and cooks meals in private households.","","0"
"35593","50","1","3","5","Ship's Cook","Prepares and cooks meals on ships.","","0"
"35594","90","1","3","5","Other Cooks","This group includes cooks not elsewhere classified, for example those who prepare special foods for diets; prepare, cook and serve food on camp sites for construction, mineral exploration, farm and other workers; perform various tasks in preparation of food such as cleaning and peeling vegetables.","","0"
"35595","10","2","3","5","Waiter, General","Serves food and beverages in hotels, restaurants and other catering facilities.","","0"
"35596","20","2","3","5","Head Waiter","Takes charge of dining-room, restaurant or section thereof in hotels, restaurants, clubs, institutions and similar commercial establishments, on board ships and on railway trains, supervising and coordinating the work of employees engaged in providing services to diners.","","0"
"35597","30","2","3","5","Waiter, Formal Service","Serves food and beverages to guests in hotels, restaurants and clubs, working in a formal setting and paying special attention to established rules of service.","","0"
"35598","40","2","3","5","Wine Waiter","Advises on the selection of wines and serves them in commercially operated dining and drinking places and in clubs and institutions.","","0"
"35599","50","2","3","5","Bartender","Serves alcoholic and non-alcoholic drinks at a bar.","","0"
"35600","90","2","3","5","Other Waiters, Bartenders and Related Workers","This group includes waiters, bartenders and related workers not elsewhere classified, for example those who arrange tables and chairs; show customers to seats; present hors-d'oevres and deserts to tables for selection by guests; remove used linen and dishes from tables; wash and dry glasses and clean bars.","","0"
"35601","10","0","4","5","Domestic servant, general","Cleans rooms, prepares food and serves meals, washes dishes and performs additional domestic duties in private households (5-40.20). May also attend to employer=s personal needs (5-40.30), take care of children (5-40.35), or provide companionship for employer (5-40.40).","","0"
"35602","20","0","4","5","House servant","Cleans rooms, prepares food and serves meals, washes dishes and performs additional domestic duties in private households.  Workers who perform cleaning and related duties only are classified as Charworker (5-52.20). Workers who clean and service guest room in public establishments are classified as Chambermaid (5-40.50).","","0"
"35603","30","0","4","5","Personal Maid, Valet","Attends to employer's personal needs and keeps wardrobe and personal effects in good order, performing a variety of services.","","0"
"35604","35","0","4","5","Nursemaid","Takes care of children and oversees their daily activities.","","0"
"35605","40","0","4","5","Companion","Provides companionship and various other services for employer.","","0"
